size,method,mean_makespan,std_makespan,mean_penalized_makespan,mean_total_distance,completion_rate,feasibility_rate,mean_served_customers,mean_unserved_customers,mean_invalid_actions,mean_total_reward,mean_gap_to_nn_makespan_percent,mean_gap_to_nn_distance_percent,mean_runtime,avg_runtime_seconds,std_runtime_seconds,avg_inference_runtime_seconds,avg_evaluation_runtime_seconds,avg_training_runtime_seconds,avg_total_runtime_seconds,improvement_vs_greedy,improvement_vs_random,penalized_improvement_vs_greedy,penalized_improvement_vs_random,mean_gap_to_vns_makespan_percent,mean_gap_to_vns_distance_percent,variant_description,method_family
10,vns,327.8519840717316,37.34413646946508,327.8519840717316,397.86408739089967,1.0,1.0,10.0,0.0,0.0,1437.7633984947204,-16.226402327741873,-23.680520523044304,0.14988402500002848,0.14988402500002848,0.04820690295829825,0.14920258340007422,0.0006814415999542689,0.0,0.14988402500002848,16.776216251741356,43.23042511912802,16.776216251741356,43.23042511912802,0.0,0.0,,baseline
10,drone_priority,353.3243203163147,28.307600310241614,353.3243203163147,706.6486406326294,1.0,1.0,10.0,0.0,0.0,1000.6919031143188,-8.833948911217544,37.08394357255213,0.0003179335999448085,0.0003179335999448085,9.559951867497816e-05,0.0003110419997028657,6.8916002419427965e-06,0.0,0.0003179335999448085,10.310175763426678,38.81973441087467,10.310175763426678,38.81973441087467,8.702753427849107,80.24463764412901,,baseline
10,nearest_neighbor,393.9402527809143,60.580019578800886,393.9402527809143,525.8320833206177,1.0,1.0,10.0,0.0,0.0,1175.220556678772,0.0,0.0,0.00014534980000462382,0.00014534980000462382,3.656794503298111e-05,0.0001393247997839353,6.025000220688525e-06,0.0,0.00014534980000462382,0.0,31.78683745911779,0.0,31.78683745911779,19.86677805873241,32.367460078839756,,baseline
10,ppo_bc_warm_less_reward_imitation,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.0023065163999490324,0.0023065163999490324,0.00023090465347082117,0.002302749800037418,3.766599911614321e-06,0.3154114170001776,0.0023065163999490324,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,Short behavior-cloning warm start with reduced NN regret and no NN bonus.,ppo_variant
10,ppo_full_current,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.0028016747997753554,0.0028016747997753554,0.0003278501057667556,0.002797308399749454,4.366400025901384e-06,2.7617487090001305,0.0028016747997753554,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,"Current v1 PPO reward, curriculum, masking, and nearest-neighbor behavior cloning.",ppo_variant
10,ppo_no_curriculum,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.002244441400034702,0.002244441400034702,0.00010827436207893495,0.0022400913998353645,4.350000199337955e-06,0.49965262500063545,0.002244441400034702,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,"Current reward and behavior cloning, trained independently per size.",ppo_variant
10,ppo_no_nn_bonus,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.0022026419996109326,0.0022026419996109326,0.00015223281190631621,0.0021990083998389308,3.633599772001617e-06,0.36402029100008804,0.0022026419996109326,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,Current reward with nearest-neighbor imitation bonus set to zero.,ppo_variant
10,ppo_reduced_nn_regret,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.0022127501999420927,0.0022127501999420927,0.00014564533271744584,0.0022091333996286265,3.6168003134662285e-06,0.30159308400016016,0.0022127501999420927,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,Current reward with nearest-neighbor regret penalty reduced from 2.0 to 0.5.,ppo_variant
10,ppo_without_nn_reward_shaping,534.0472289085388,53.06370123642585,534.0472289085388,697.2515703201294,1.0,1.0,10.0,0.0,0.0,386.920438079834,36.656442035218966,34.07888660029082,0.0021995081995555667,0.0021995081995555667,8.29034991268786e-05,0.002195458399728523,4.049799827043898e-06,0.3152898329999516,0.0021995081995555667,-35.56553947929346,7.526458205565707,-35.56553947929346,7.526458205565707,63.132797455305216,75.57292754920951,Curriculum and behavior cloning with nearest-neighbor reward bonus/regret removed.,ppo_variant
10,ppo_stronger_final_makespan,541.3295371055603,62.27825400028572,541.3295371055603,711.8161867141723,1.0,1.0,10.0,0.0,0.0,326.55004806518554,38.225585161557866,36.46979620535174,0.00225734179985011,0.00225734179985011,0.00017818863667213807,0.00225356679984543,3.775000004679896e-06,0.3217687090000254,0.00225734179985011,-37.41412137606944,6.265482031616585,-37.41412137606944,6.265482031616585,65.12929199526565,79.12106172650961,Current reward with stronger final makespan penalty.,ppo_variant
