#{"t_start": 1781050791.0476968, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
938.056784,40,3.869077,1.0,True,40,0,0,1366.9170751571655,1956.627417564392,21.55628514289856,1366.9170751571655,completed
2972.869584,40,3.927144,1.0,True,40,0,0,1032.9239044189453,1414.2959399223328,7.958131742477417,1032.9239044189453,completed
3040.954166,40,3.985196,1.0,True,40,0,0,970.0716494321823,1214.7281424999237,9.697523593902588,970.0716494321823,completed
2216.413047,40,4.042855,1.0,True,40,0,0,1057.8164920806885,1408.439453125,15.432670736312867,1057.8164920806885,completed
2827.982537,40,4.100462,1.0,True,40,0,0,984.2077350616455,1294.6439094543457,11.154806518554688,984.2077350616455,completed
2764.432407,40,4.158537,1.0,True,40,0,0,942.7374424934387,1349.888994216919,12.125590419769287,942.7374424934387,completed
2401.047904,40,4.21781,1.0,True,40,0,0,1076.0131072998047,1451.377371788025,13.647864031791688,1076.0131072998047,completed
2605.585865,40,4.275666,1.0,True,40,0,0,1011.9067659378052,1336.098653793335,13.782019448280334,1011.9067659378052,completed
2454.840384,40,4.360676,1.0,True,40,0,0,1120.273443877697,1632.3815644979477,9.217197862267493,1120.273443877697,completed
2040.084133,40,4.418774,1.0,True,40,0,0,1131.8846859931946,1448.2730507850647,15.283558750152588,1131.8846859931946,completed
3040.727572,40,4.476145,1.0,True,40,0,0,1039.4547729492188,1290.1022081375122,8.768589186668397,1039.4547729492188,completed
2780.203898,40,4.533933,1.0,True,40,0,0,971.6047782897949,1381.1885542869568,10.969072818756104,971.6047782897949,completed
2647.560578,40,4.591478,1.0,True,40,0,0,970.8959114551544,1305.0628752708435,12.429158902168274,970.8959114551544,completed
3228.331024,40,4.648118,1.0,True,40,0,0,904.2552890777588,1127.5912580490112,8.422067737579345,904.2552890777588,completed
2293.591432,40,4.705526,1.0,True,40,0,0,1173.826524734497,1651.1742706298828,11.197761940956116,1173.826524734497,completed
1480.506375,40,4.762884,1.0,True,40,0,0,1209.7638487815857,1718.004463672638,19.23538007736206,1209.7638487815857,completed
3391.861882,40,4.820168,1.0,True,40,0,0,900.9434933662415,1078.8967571258545,7.697319865226746,900.9434933662415,completed
1114.113969,40,4.877339,1.0,True,40,0,0,1218.764654636383,1693.4633016586304,22.835220074653627,1218.764654636383,completed
962.30149,40,4.935489,1.0,True,40,0,0,1202.251853466034,1783.903769493103,23.613165640830992,1202.251853466034,completed
2764.362518,40,4.993797,1.0,True,40,0,0,1047.8683595657349,1352.0333032608032,10.370997905731201,1047.8683595657349,completed
-1544.977924,40,5.051216,1.0,True,40,0,0,1603.586890220642,2651.786512374878,36.88575782775879,1603.586890220642,completed
2553.373688,40,5.109363,1.0,True,40,0,0,1092.3129307031631,1353.6259195804596,12.340625524520874,1092.3129307031631,completed
2867.473711,40,5.168148,1.0,True,40,0,0,987.6845984458923,1350.375675201416,9.868778586387634,987.6845984458923,completed
1701.082224,40,5.226037,1.0,True,40,0,0,1234.2756276130676,1604.464421749115,17.855519199371336,1234.2756276130676,completed
3460.161255,40,5.283633,1.0,True,40,0,0,875.260980129242,1205.87233543396,6.540282344818115,875.260980129242,completed
2579.503302,40,5.341895,1.0,True,40,0,0,992.6746037006378,1472.0390725135803,11.758111953735352,992.6746037006378,completed
2550.742451,40,5.400089,1.0,True,40,0,0,1103.4965682029724,1547.6615467071533,9.621648836135865,1103.4965682029724,completed
789.229179,40,5.458285,1.0,True,40,0,0,1237.6597599983215,1919.150134086609,24.276372718811036,1237.6597599983215,completed
1654.437573,40,5.516336,1.0,True,40,0,0,1189.9740523695946,1665.4573267698288,17.932186701893805,1189.9740523695946,completed
1038.552966,40,5.574893,1.0,True,40,0,0,1276.1644560098648,1902.0693008899689,21.105901622772215,1276.1644560098648,completed
2293.410848,40,5.633185,1.0,True,40,0,0,1055.3495206832886,1492.06476688385,14.276352453231812,1055.3495206832886,completed
2744.344538,40,5.690403,1.0,True,40,0,0,1037.1572427749634,1386.5763330459595,10.851589369773865,1037.1572427749634,completed
1953.648689,40,5.748537,1.0,True,40,0,0,1246.1000981330872,1710.989447593689,13.457535743713379,1246.1000981330872,completed
2606.50731,40,5.806731,1.0,True,40,0,0,1087.5680434703827,1470.7048225402832,10.727206993103028,1087.5680434703827,completed
2864.555057,40,5.864486,1.0,True,40,0,0,1011.8751373291016,1343.207396030426,9.197396564483643,1011.8751373291016,completed
3210.750961,40,5.921865,1.0,True,40,0,0,894.7812666893005,1211.6895637512207,7.556521987915039,894.7812666893005,completed
2503.163076,40,5.979443,1.0,True,40,0,0,1034.0156472325325,1367.2836233377457,13.53019437789917,1034.0156472325325,completed
3799.762114,40,6.036764,1.0,True,40,0,0,898.8923200964928,1109.1784504652023,4.072577476501465,898.8923200964928,completed
2809.35572,40,6.09425,1.0,True,40,0,0,1036.9679384231567,1460.7601776123047,9.645341515541077,1036.9679384231567,completed
2070.627905,40,6.151992,1.0,True,40,0,0,1155.537743806839,1715.8267827033997,13.857999849319459,1155.537743806839,completed
1888.31787,40,6.209788,1.0,True,40,0,0,1223.5580973625183,1886.3673639297485,12.031789636611938,1223.5580973625183,completed
1422.045839,40,6.26669,1.0,True,40,0,0,1306.4528379440308,1608.7402200698853,21.368352699279786,1306.4528379440308,completed
1545.62737,40,6.324607,1.0,True,40,0,0,1055.7957518100739,1620.2268767356873,20.608070182800294,1055.7957518100739,completed
2968.485574,40,6.381741,1.0,True,40,0,0,971.1724240779877,1327.4162774085999,9.045663332939148,971.1724240779877,completed
3258.426845,40,6.439191,1.0,True,40,0,0,971.5427470207214,1180.279468536377,7.754251146316529,971.5427470207214,completed
1929.005381,40,6.49714,1.0,True,40,0,0,1258.1751992702484,1703.4280886650085,13.153982520103455,1258.1751992702484,completed
