#{"t_start": 1781050791.060342, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
654.29745,40,3.857177,1.0,True,40,0,0,1521.533396244049,1985.9124183654785,22.603485649824144,1521.533396244049,completed
1329.235186,40,3.915211,1.0,True,40,0,0,1303.534972190857,1792.6520986557007,19.084081530570984,1303.534972190857,completed
2261.242031,40,3.97325,1.0,True,40,0,0,1154.325352370739,1507.820346236229,13.407004714012146,1154.325352370739,completed
2307.319764,40,4.030912,1.0,True,40,0,0,1022.4980955123901,1525.0626468658447,13.270155835151673,1022.4980955123901,completed
944.06383,40,4.088515,1.0,True,40,0,0,1349.8782720565796,1840.647050857544,22.266218137741088,1349.8782720565796,completed
272.493792,40,4.146656,1.0,True,40,0,0,1471.247151017189,2022.7387882471085,26.621815633773803,1471.247151017189,completed
3175.588264,40,4.205884,1.0,True,40,0,0,927.0292646884918,1153.0531554222107,8.872946333885192,927.0292646884918,completed
1887.32605,40,4.26371,1.0,True,40,0,0,1202.9081773757935,1641.6349592208862,15.251632356643677,1202.9081773757935,completed
2106.340912,40,4.348764,1.0,True,40,0,0,1177.1939368247986,1571.7329359054565,14.292956209182739,1177.1939368247986,completed
2042.630994,40,4.406842,1.0,True,40,0,0,1121.3350763320923,1537.491470336914,15.979091787338257,1121.3350763320923,completed
3028.619121,40,4.464203,1.0,True,40,0,0,916.7320022583008,1146.5515441894531,11.189187240600585,916.7320022583008,completed
1797.092614,40,4.521981,1.0,True,40,0,0,1239.4260113239288,1574.6199278831482,17.027123236656188,1239.4260113239288,completed
1779.888336,40,4.579522,1.0,True,40,0,0,1221.8716645240784,1595.952226638794,16.76801519393921,1221.8716645240784,completed
2994.783038,40,4.636177,1.0,True,40,0,0,997.9486167430878,1531.9974360466003,6.9531326532363895,997.9486167430878,completed
2294.482364,40,4.693568,1.0,True,40,0,0,1092.6080304384232,1381.5761997699738,15.502737474441528,1092.6080304384232,completed
3043.480706,40,4.750923,1.0,True,40,0,0,971.9454708099365,1362.7401666641235,8.241722857952118,971.9454708099365,completed
2383.831411,40,4.808219,1.0,True,40,0,0,1125.078633069992,1505.13343667984,13.06843285560608,1125.078633069992,completed
1382.888824,40,4.865403,1.0,True,40,0,0,1157.7213082313538,1704.4596195220947,21.344660115242004,1157.7213082313538,completed
1377.776611,40,4.923556,1.0,True,40,0,0,1121.3699803352356,1690.9384479522705,21.554613852500914,1121.3699803352356,completed
2233.765861,40,4.981852,1.0,True,40,0,0,1109.8203649520874,1643.89235496521,12.525754117965699,1109.8203649520874,completed
2130.974285,40,5.039277,1.0,True,40,0,0,1162.870879650116,1479.2996926307678,15.675919067859649,1162.870879650116,completed
316.980648,40,5.097419,1.0,True,40,0,0,1476.5005040168762,2136.739833831787,25.70881540775299,1476.5005040168762,completed
1575.560672,40,5.156217,1.0,True,40,0,0,1161.1137628555298,1716.2933053970337,19.373105430603026,1161.1137628555298,completed
3022.522141,40,5.214089,1.0,True,40,0,0,976.4968190193176,1266.3498272895813,10.107436966896056,976.4968190193176,completed
3625.98448,40,5.271672,1.0,True,40,0,0,740.7253270149231,1045.913146018982,7.050948286056519,740.7253270149231,completed
2557.621299,40,5.32996,1.0,True,40,0,0,1068.7640867233276,1728.8520622253418,7.929787254333496,1068.7640867233276,completed
3632.45079,40,5.388137,1.0,True,40,0,0,860.1957576274872,1075.4203276634216,4.7308674335479735,860.1957576274872,completed
938.028042,40,5.446335,1.0,True,40,0,0,1263.0822052955627,1951.14559841156,21.473280954360963,1263.0822052955627,completed
1936.900424,40,5.504387,1.0,True,40,0,0,1077.7161288261414,1494.4905948638916,17.281628060340882,1077.7161288261414,completed
2599.477955,40,5.562929,1.0,True,40,0,0,1057.979268670082,1495.5659620761871,10.695149064064026,1057.979268670082,completed
2769.259293,40,5.62125,1.0,True,40,0,0,970.2168653607368,1434.5733639001846,10.069748592376708,970.2168653607368,completed
2422.672633,40,5.678486,1.0,True,40,0,0,1078.0124673843384,1419.7030544281006,13.485581588745116,1078.0124673843384,completed
416.297654,40,5.736573,1.0,True,40,0,0,1315.7800055146217,1921.3049374818802,28.32248638868332,1315.7800055146217,completed
2959.317386,40,5.794766,1.0,True,40,0,0,995.4624495506287,1335.0469770431519,8.87316837310791,995.4624495506287,completed
