#{"t_start": 1781050520.432419, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
3322.135876,30,2.506142,1.0,True,30,0,0,685.013288974762,771.4185285568237,1.8882628122965495,685.013288974762,completed
1733.768267,30,2.541303,1.0,True,30,0,0,868.9513759613037,1169.6278991699219,15.471170298258464,868.9513759613037,completed
1136.410913,30,2.576734,1.0,True,30,0,0,975.1863079071045,1517.209587097168,18.82577927907308,975.1863079071045,completed
1238.383737,30,2.613041,1.0,True,30,0,0,908.3298153877258,1390.0718774795532,20.125655142466226,908.3298153877258,completed
1503.599909,30,2.649194,1.0,True,30,0,0,903.8698377609253,1281.8543548583984,16.900639963150024,903.8698377609253,completed
1287.566185,30,2.684997,1.0,True,30,0,0,1008.2790060043335,1292.4385089874268,18.846400864919026,1008.2790060043335,completed
3338.450293,30,2.728357,1.0,True,30,0,0,651.3153071403503,770.9505968093872,1.54524777730306,651.3153071403503,completed
1599.130731,30,2.766842,1.0,True,30,0,0,1037.478425502777,1207.7120571136475,15.74831584294637,1037.478425502777,completed
702.497574,30,2.815197,1.0,True,30,0,0,1078.8500332832336,1638.71644115448,21.54340534210205,1078.8500332832336,completed
1586.984311,30,2.857654,1.0,True,30,0,0,917.2004680633545,1227.9124908447266,16.366527811686197,917.2004680633545,completed
1769.965302,30,2.895492,1.0,True,30,0,0,818.7115926742554,1143.8677387237549,16.25922050476074,818.7115926742554,completed
2002.029873,30,2.930716,1.0,True,30,0,0,850.1054549217224,1083.7758750915527,12.345889854431153,850.1054549217224,completed
2190.218591,30,2.968469,1.0,True,30,0,0,850.5903086662292,1118.1617946624756,10.240820821126302,850.5903086662292,completed
2539.802514,30,3.00503,1.0,True,30,0,0,754.3191611766815,1036.5465350151062,7.290080006917318,754.3191611766815,completed
1447.145328,30,3.041001,1.0,True,30,0,0,883.1036071777344,1175.073543548584,18.34019349416097,883.1036071777344,completed
2496.969933,30,3.076279,1.0,True,30,0,0,760.2900242805481,985.8823328018188,8.87309144337972,760.2900242805481,completed
309.586244,30,3.111672,1.0,True,30,0,0,1109.7106194496155,1716.9988431930542,23.431477610270182,1109.7106194496155,completed
2723.527602,30,3.146669,1.0,True,30,0,0,810.8846702575684,998.134407043457,5.616562461853027,810.8846702575684,completed
1567.510947,30,3.182197,1.0,True,30,0,0,970.4969136714935,1352.5505499839783,13.87308832804362,970.4969136714935,completed
1989.344619,30,3.216531,1.0,True,30,0,0,892.3757467269897,1092.3934783935547,12.393285115559896,892.3757467269897,completed
2304.99605,30,3.251519,1.0,True,30,0,0,795.0022213459015,1173.3323566913605,8.288950411478679,795.0022213459015,completed
2125.980665,30,3.287487,1.0,True,30,0,0,853.8055067062378,1045.1087889671326,13.035272725423177,853.8055067062378,completed
983.549554,30,3.323204,1.0,True,30,0,0,1026.6650185585022,1451.564121246338,21.228848361968993,1026.6650185585022,completed
1725.136316,30,3.358294,1.0,True,30,0,0,998.1133222579956,1377.77357006073,11.340746053059895,998.1133222579956,completed
2354.578544,30,3.393977,1.0,True,30,0,0,796.228873193264,979.1665796041489,10.593348248799641,796.228873193264,completed
2983.327122,30,3.429348,1.0,True,30,0,0,671.9494135379791,799.0505435466766,5.492460536956787,671.9494135379791,completed
1482.07375,30,3.465183,1.0,True,30,0,0,917.1359121501446,1216.1603164076805,19.164472579956055,917.1359121501446,completed
1278.956256,30,3.50625,1.0,True,30,0,0,950.5894546508789,1455.533447265625,17.410054651896157,950.5894546508789,completed
1892.687371,30,3.549119,1.0,True,30,0,0,929.0574712753296,1167.0976181030273,13.51784610748291,929.0574712753296,completed
978.715131,30,3.5865,1.0,True,30,0,0,984.0534505844116,1478.1231479644775,20.4152889251709,984.0534505844116,completed
936.72172,30,3.624554,1.0,True,30,0,0,975.8027614355087,1521.0250890254974,20.411150423685708,975.8027614355087,completed
2617.148565,30,3.663812,1.0,True,30,0,0,729.8032226264477,946.5934090018272,7.8952791849772135,729.8032226264477,completed
1773.691094,30,3.700336,1.0,True,30,0,0,940.7381377220154,1246.693959236145,13.091711139678955,940.7381377220154,completed
2795.501283,30,3.739516,1.0,True,30,0,0,786.363073348999,1000.5046043395996,4.202096811930338,786.363073348999,completed
1604.148843,30,3.774568,1.0,True,30,0,0,882.2665493488312,1295.2300724983215,16.86230246225993,882.2665493488312,completed
2768.788807,30,3.81457,1.0,True,30,0,0,673.0575256347656,927.4374656677246,5.86992441813151,673.0575256347656,completed
1629.479477,30,3.851115,1.0,True,30,0,0,958.1612486839294,1267.0126571655273,14.115164184570313,958.1612486839294,completed
3113.186948,30,3.891131,1.0,True,30,0,0,674.551308631897,929.6746683120728,1.7406688690185548,674.551308631897,completed
1625.043239,30,3.9283,1.0,True,30,0,0,992.3148813247681,1368.9542903900146,12.81196854909261,992.3148813247681,completed
1005.624516,30,3.963947,1.0,True,30,0,0,1102.2762699127197,1324.351812362671,20.353712145487467,1102.2762699127197,completed
2456.571333,30,4.003618,1.0,True,30,0,0,709.1772956848145,977.0910320281982,10.218702570597332,709.1772956848145,completed
2201.841074,30,4.039239,1.0,True,30,0,0,784.7122573852539,1033.3859786987305,11.426783243815104,784.7122573852539,completed
1605.30554,30,4.078494,1.0,True,30,0,0,905.727548122406,1249.6260633468628,15.777821032206218,905.727548122406,completed
2406.011343,30,4.114228,1.0,True,30,0,0,756.9559631347656,993.6137847900391,10.697331937154134,756.9559631347656,completed
2080.40354,30,4.153053,1.0,True,30,0,0,805.3605172634125,1122.65008020401,11.607751019795735,805.3605172634125,completed
1899.141095,30,4.188335,1.0,True,30,0,0,821.7483911514282,1188.4682455062866,13.258246676127117,821.7483911514282,completed
1645.699329,30,4.226621,1.0,True,30,0,0,902.1568779945374,1186.3172340393066,16.7176264444987,902.1568779945374,completed
3394.521806,30,4.262788,1.0,True,30,0,0,626.8548421859741,811.8330545425415,0.10581547419230143,626.8548421859741,completed
