#{"t_start": 1780521147.141105, "env_id": "None"}
r,l,t,completion_rate,feasible,served_customers,unserved_customers,invalid_actions,makespan,total_distance,average_regret,penalized_makespan,terminal_status
3120.933318,30,2.338506,1.0,True,30,0,0,653.8123898506165,776.4476346969604,3.7947808265686036,653.8123898506165,completed
2002.024333,30,2.372625,1.0,True,30,0,0,766.3245035409927,1087.235238313675,13.953703371683757,766.3245035409927,completed
3075.496348,30,2.406205,1.0,True,30,0,0,660.6014578342438,810.7260346412659,4.272402318318685,660.6014578342438,completed
1521.833564,30,2.441375,1.0,True,30,0,0,892.9834127426147,1269.7200136184692,17.344739564259847,892.9834127426147,completed
2726.158323,30,2.477352,1.0,True,30,0,0,711.5801229476929,932.3763771057129,7.35465981165568,711.5801229476929,completed
2147.814737,30,2.510829,1.0,True,30,0,0,912.3263711929321,1144.97012424469,9.838705062866211,912.3263711929321,completed
2796.862028,30,2.544484,1.0,True,30,0,0,725.8360483646393,929.8229508399963,6.497184944152832,725.8360483646393,completed
1977.901666,30,2.577809,1.0,True,30,0,0,724.454859495163,1098.1332495212555,15.407980728149415,724.454859495163,completed
2428.787845,30,2.611188,1.0,True,30,0,0,737.5870788097382,1035.938446521759,9.73546028137207,737.5870788097382,completed
2748.386219,30,2.646869,1.0,True,30,0,0,792.0287209749222,1024.8023388385773,5.318566258748373,792.0287209749222,completed
1879.158285,30,2.683301,1.0,True,30,0,0,849.4526877105236,1077.5788993239403,15.763888551791508,849.4526877105236,completed
1887.421649,30,2.717326,1.0,True,30,0,0,870.2810640335083,1267.0301809310913,12.361275227864583,870.2810640335083,completed
2325.525713,30,2.75074,1.0,True,30,0,0,700.2636657953262,994.4075481891632,11.757796414693196,700.2636657953262,completed
2615.563264,30,2.784455,1.0,True,30,0,0,706.5041890144348,960.3238515853882,7.902966435750326,706.5041890144348,completed
2284.490839,30,2.817764,1.0,True,30,0,0,763.8780469894409,1065.9304180145264,9.244314543406169,763.8780469894409,completed
1223.939527,30,2.852896,1.0,True,30,0,0,1018.9538960456848,1462.5948038101196,17.097230847676595,1018.9538960456848,completed
2302.693957,30,2.912303,1.0,True,30,0,0,865.6892080307007,1041.995638847351,10.028288586934407,865.6892080307007,completed
1681.338155,30,2.94592,1.0,True,30,0,0,879.668420791626,1196.1430168151855,16.585057894388836,879.668420791626,completed
3177.257224,30,2.979664,1.0,True,30,0,0,655.015869140625,938.2053356170654,0.7117897510528565,655.015869140625,completed
2713.578181,30,3.0128,1.0,True,30,0,0,711.5862336158752,949.362163066864,6.419528325398763,711.5862336158752,completed
2308.780522,30,3.046345,1.0,True,30,0,0,790.3028936386108,1019.2621746063232,10.680822499593098,790.3028936386108,completed
